-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 11/30/2023 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
39.75,-80.25,2023,1,1,0.34
39.75,-79.75,2023,1,1,0.23
39.75,-79.25,2023,1,1,0.14
39.75,-78.75,2023,1,1,0.08
39.75,-78.25,2023,1,1,0.06
39.75,-77.75,2023,1,1,0.07
39.75,-77.25,2023,1,1,0.08
39.75,-76.75,2023,1,1,0.08
39.75,-76.25,2023,1,1,0.07
39.75,-75.75,2023,1,1,0.05
39.75,-75.25,2023,1,1,0.04
39.75,-74.75,2023,1,1,0.11
39.75,-74.25,2023,1,1,0.45
39.75,-73.75,2023,1,1,1.37
39.75,-73.25,2023,1,1,3.17
39.75,-72.75,2023,1,1,3.84
39.75,-72.25,2023,1,1,4.26
39.75,-71.75,2023,1,1,4.53
39.75,-71.25,2023,1,1,3.99
40.25,-80.25,2023,1,1,0.29
40.25,-79.75,2023,1,1,0.25
40.25,-79.25,2023,1,1,0.22
40.25,-78.75,2023,1,1,0.18
40.25,-78.25,2023,1,1,0.09
40.25,-77.75,2023,1,1,0.08
40.25,-77.25,2023,1,1,0.08
40.25,-76.75,2023,1,1,0.07
40.25,-76.25,2023,1,1,0.07
40.25,-75.75,2023,1,1,0.05
40.25,-75.25,2023,1,1,0.04
40.25,-74.75,2023,1,1,0.2
40.25,-74.25,2023,1,1,0.84
40.25,-73.75,2023,1,1,2.5
40.25,-73.25,2023,1,1,4.67
40.25,-72.75,2023,1,1,6.04
40.25,-72.25,2023,1,1,6.6
40.25,-71.75,2023,1,1,6.5
40.25,-71.25,2023,1,1,6.04
40.75,-80.25,2023,1,1,0.26
40.75,-79.75,2023,1,1,0.31
40.75,-79.25,2023,1,1,0.35
40.75,-78.75,2023,1,1,0.32
40.75,-78.25,2023,1,1,0.13
40.75,-77.75,2023,1,1,0.09
40.75,-77.25,2023,1,1,0.08
40.75,-76.75,2023,1,1,0.04
40.75,-76.25,2023,1,1,0.04
40.75,-75.75,2023,1,1,0.04
40.75,-75.25,2023,1,1,0.04
40.75,-74.75,2023,1,1,0.18
40.75,-74.25,2023,1,1,0.74
40.75,-73.75,2023,1,1,2.12
40.75,-73.25,2023,1,1,3.93
40.75,-72.75,2023,1,1,5.02
40.75,-72.25,2023,1,1,6.02
40.75,-71.75,2023,1,1,7.0
40.75,-71.25,2023,1,1,7.39
41.25,-80.25,2023,1,1,0.36
41.25,-79.75,2023,1,1,0.47
41.25,-79.25,2023,1,1,0.54
41.25,-78.75,2023,1,1,0.42
41.25,-78.25,2023,1,1,0.17
41.25,-77.75,2023,1,1,0.13
41.25,-77.25,2023,1,1,0.1
41.25,-76.75,2023,1,1,0.04
41.25,-76.25,2023,1,1,0.03
41.25,-75.75,2023,1,1,0.03
41.25,-75.25,2023,1,1,0.04
41.25,-74.75,2023,1,1,0.09
41.25,-74.25,2023,1,1,0.33
41.25,-73.75,2023,1,1,0.94
41.25,-73.25,2023,1,1,1.94
41.25,-72.75,2023,1,1,2.44
41.25,-72.25,2023,1,1,3.77
41.25,-71.75,2023,1,1,5.72
41.25,-71.25,2023,1,1,6.48
41.75,-80.25,2023,1,1,0.9
41.75,-79.75,2023,1,1,0.93
41.75,-79.25,2023,1,1,0.92
41.75,-78.75,2023,1,1,0.58
41.75,-78.25,2023,1,1,0.27
41.75,-77.75,2023,1,1,0.19
41.75,-77.25,2023,1,1,0.13
41.75,-76.75,2023,1,1,0.05
41.75,-76.25,2023,1,1,0.05
41.75,-75.75,2023,1,1,0.06
41.75,-75.25,2023,1,1,0.05
41.75,-74.75,2023,1,1,0.06
41.75,-74.25,2023,1,1,0.13
41.75,-73.75,2023,1,1,0.32
41.75,-73.25,2023,1,1,0.74
41.75,-72.75,2023,1,1,1.34
41.75,-72.25,2023,1,1,2.35
41.75,-71.75,2023,1,1,3.61
41.75,-71.25,2023,1,1,4.52
42.25,-80.25,2023,1,1,1.74
42.25,-79.75,2023,1,1,2.05
42.25,-79.25,2023,1,1,1.92
42.25,-78.75,2023,1,1,1.02
42.25,-78.25,2023,1,1,0.53
42.25,-77.75,2023,1,1,0.32
42.25,-77.25,2023,1,1,0.21
42.25,-76.75,2023,1,1,0.14
42.25,-76.25,2023,1,1,0.15
42.25,-75.75,2023,1,1,0.15
42.25,-75.25,2023,1,1,0.12
42.25,-74.75,2023,1,1,0.09
42.25,-74.25,2023,1,1,0.07
42.25,-73.75,2023,1,1,0.1
42.25,-73.25,2023,1,1,0.3
42.25,-72.75,2023,1,1,0.64
42.25,-72.25,2023,1,1,1.19
42.25,-71.75,2023,1,1,2.04
42.25,-71.25,2023,1,1,3.27
42.75,-80.25,2023,1,1,1.57
42.75,-79.75,2023,1,1,2.1
42.75,-79.25,2023,1,1,2.27
42.75,-78.75,2023,1,1,1.64
42.75,-78.25,2023,1,1,1.06
42.75,-77.75,2023,1,1,0.66
42.75,-77.25,2023,1,1,0.44
42.75,-76.75,2023,1,1,0.37
42.75,-76.25,2023,1,1,0.37
42.75,-75.75,2023,1,1,0.34
42.75,-75.25,2023,1,1,0.31
42.75,-74.75,2023,1,1,0.22
42.75,-74.25,2023,1,1,0.12
42.75,-73.75,2023,1,1,0.16
42.75,-73.25,2023,1,1,0.24
42.75,-72.75,2023,1,1,0.38
42.75,-72.25,2023,1,1,0.82
42.75,-71.75,2023,1,1,1.59
42.75,-71.25,2023,1,1,2.52
43.25,-80.25,2023,1,1,0.98
43.25,-79.75,2023,1,1,1.29
43.25,-79.25,2023,1,1,1.96
43.25,-78.75,2023,1,1,2.91
43.25,-78.25,2023,1,1,2.95
43.25,-77.75,2023,1,1,2.0
43.25,-77.25,2023,1,1,1.15
43.25,-76.75,2023,1,1,0.78
43.25,-76.25,2023,1,1,0.57
43.25,-75.75,2023,1,1,0.57
43.25,-75.25,2023,1,1,0.56
43.25,-74.75,2023,1,1,0.43
43.25,-74.25,2023,1,1,0.25
43.25,-73.75,2023,1,1,0.22
43.25,-73.25,2023,1,1,0.31
43.25,-72.75,2023,1,1,0.39
43.25,-72.25,2023,1,1,0.74
43.25,-71.75,2023,1,1,1.36
43.25,-71.25,2023,1,1,1.98
43.75,-80.25,2023,1,1,1.1
43.75,-79.75,2023,1,1,1.12
43.75,-79.25,2023,1,1,1.59
43.75,-78.75,2023,1,1,2.76
43.75,-78.25,2023,1,1,3.05
43.75,-77.75,2023,1,1,2.23
43.75,-77.25,2023,1,1,1.52
43.75,-76.75,2023,1,1,1.33
43.75,-76.25,2023,1,1,1.29
43.75,-75.75,2023,1,1,0.97
43.75,-75.25,2023,1,1,0.82
43.75,-74.75,2023,1,1,0.67
43.75,-74.25,2023,1,1,0.48
43.75,-73.75,2023,1,1,0.33
43.75,-73.25,2023,1,1,0.34
43.75,-72.75,2023,1,1,0.52
43.75,-72.25,2023,1,1,0.96
43.75,-71.75,2023,1,1,1.51
43.75,-71.25,2023,1,1,1.81
44.25,-80.25,2023,1,1,0.98
44.25,-79.75,2023,1,1,0.79
44.25,-79.25,2023,1,1,0.8
44.25,-78.75,2023,1,1,1.15
44.25,-78.25,2023,1,1,1.12
44.25,-77.75,2023,1,1,0.96
44.25,-77.25,2023,1,1,1.02
44.25,-76.75,2023,1,1,1.36
44.25,-76.25,2023,1,1,1.82
44.25,-75.75,2023,1,1,1.44
44.25,-75.25,2023,1,1,1.29
44.25,-74.75,2023,1,1,1.26
44.25,-74.25,2023,1,1,1.23
44.25,-73.75,2023,1,1,1.04
44.25,-73.25,2023,1,1,1.01
44.25,-72.75,2023,1,1,1.49
44.25,-72.25,2023,1,1,1.97
44.25,-71.75,2023,1,1,2.2
44.25,-71.25,2023,1,1,2.07
44.75,-80.25,2023,1,1,0.61
44.75,-79.75,2023,1,1,0.44
44.75,-79.25,2023,1,1,0.34
44.75,-78.75,2023,1,1,0.47
44.75,-78.25,2023,1,1,0.51
44.75,-77.75,2023,1,1,0.45
44.75,-77.25,2023,1,1,0.5
44.75,-76.75,2023,1,1,0.79
44.75,-76.25,2023,1,1,1.3
44.75,-75.75,2023,1,1,1.66
44.75,-75.25,2023,1,1,1.83
44.75,-74.75,2023,1,1,2.39
44.75,-74.25,2023,1,1,3.16
44.75,-73.75,2023,1,1,3.18
44.75,-73.25,2023,1,1,3.51
44.75,-72.75,2023,1,1,3.98
44.75,-72.25,2023,1,1,4.08
44.75,-71.75,2023,1,1,3.68
44.75,-71.25,2023,1,1,3.01
45.25,-80.25,2023,1,1,0.41
45.25,-79.75,2023,1,1,0.33
45.25,-79.25,2023,1,1,0.31
45.25,-78.75,2023,1,1,0.36
45.25,-78.25,2023,1,1,0.38
45.25,-77.75,2023,1,1,0.37
45.25,-77.25,2023,1,1,0.41
45.25,-76.75,2023,1,1,0.61
45.25,-76.25,2023,1,1,1.07
45.25,-75.75,2023,1,1,2.03
45.25,-75.25,2023,1,1,2.78
45.25,-74.75,2023,1,1,3.67
45.25,-74.25,2023,1,1,4.56
45.25,-73.75,2023,1,1,4.78
45.25,-73.25,2023,1,1,5.35
45.25,-72.75,2023,1,1,5.67
45.25,-72.25,2023,1,1,5.84
45.25,-71.75,2023,1,1,5.78
45.25,-71.25,2023,1,1,5.27
45.75,-80.25,2023,1,1,0.3
45.75,-79.75,2023,1,1,0.33
45.75,-79.25,2023,1,1,0.42
45.75,-78.75,2023,1,1,0.47
45.75,-78.25,2023,1,1,0.46
45.75,-77.75,2023,1,1,0.48
45.75,-77.25,2023,1,1,0.55
45.75,-76.75,2023,1,1,0.78
45.75,-76.25,2023,1,1,1.37
45.75,-75.75,2023,1,1,2.57
45.75,-75.25,2023,1,1,3.51
45.75,-74.75,2023,1,1,4.03
45.75,-74.25,2023,1,1,4.19
45.75,-73.75,2023,1,1,4.3
45.75,-73.25,2023,1,1,4.72
45.75,-72.75,2023,1,1,4.89
45.75,-72.25,2023,1,1,5.39
45.75,-71.75,2023,1,1,6.38
45.75,-71.25,2023,1,1,7.67
46.25,-80.25,2023,1,1,0.32
46.25,-79.75,2023,1,1,0.4
46.25,-79.25,2023,1,1,0.51
46.25,-78.75,2023,1,1,0.56
46.25,-78.25,2023,1,1,0.56
46.25,-77.75,2023,1,1,0.53
46.25,-77.25,2023,1,1,0.54
46.25,-76.75,2023,1,1,0.68
46.25,-76.25,2023,1,1,1.13
46.25,-75.75,2023,1,1,2.08
46.25,-75.25,2023,1,1,2.9
46.25,-74.75,2023,1,1,3.24
46.25,-74.25,2023,1,1,3.14
46.25,-73.75,2023,1,1,3.02
46.25,-73.25,2023,1,1,3.26
46.25,-72.75,2023,1,1,3.52
46.25,-72.25,2023,1,1,4.4
46.25,-71.75,2023,1,1,6.14
46.25,-71.25,2023,1,1,8.64
46.75,-80.25,2023,1,1,0.34
46.75,-79.75,2023,1,1,0.4
46.75,-79.25,2023,1,1,0.45
46.75,-78.75,2023,1,1,0.47
46.75,-78.25,2023,1,1,0.47
46.75,-77.75,2023,1,1,0.41
46.75,-77.25,2023,1,1,0.37
46.75,-76.75,2023,1,1,0.43
46.75,-76.25,2023,1,1,0.62
46.75,-75.75,2023,1,1,1.08
46.75,-75.25,2023,1,1,1.7
46.75,-74.75,2023,1,1,2.0
46.75,-74.25,2023,1,1,1.91
46.75,-73.75,2023,1,1,1.72
46.75,-73.25,2023,1,1,1.84
46.75,-72.75,2023,1,1,2.49
46.75,-72.25,2023,1,1,3.71
46.75,-71.75,2023,1,1,5.4
46.75,-71.25,2023,1,1,7.34
39.75,-80.25,2023,1,2,3.93
39.75,-79.75,2023,1,2,3.57
39.75,-79.25,2023,1,2,2.91
39.75,-78.75,2023,1,2,2.25
39.75,-78.25,2023,1,2,1.91
39.75,-77.75,2023,1,2,1.76
39.75,-77.25,2023,1,2,1.41
39.75,-76.75,2023,1,2,0.82
39.75,-76.25,2023,1,2,0.31
39.75,-75.75,2023,1,2,0.15
39.75,-75.25,2023,1,2,0.11
39.75,-74.75,2023,1,2,0.1
39.75,-74.25,2023,1,2,0.07
39.75,-73.75,2023,1,2,0.04
39.75,-73.25,2023,1,2,0.03
39.75,-72.75,2023,1,2,0.03
39.75,-72.25,2023,1,2,0.02
39.75,-71.75,2023,1,2,0.01
39.75,-71.25,2023,1,2,0.0
40.25,-80.25,2023,1,2,2.88
40.25,-79.75,2023,1,2,3.05
40.25,-79.25,2023,1,2,3.41
40.25,-78.75,2023,1,2,3.68
40.25,-78.25,2023,1,2,3.7
40.25,-77.75,2023,1,2,3.56
40.25,-77.25,2023,1,2,2.78
40.25,-76.75,2023,1,2,1.55
40.25,-76.25,2023,1,2,0.75
40.25,-75.75,2023,1,2,0.47
40.25,-75.25,2023,1,2,0.4
40.25,-74.75,2023,1,2,0.35
40.25,-74.25,2023,1,2,0.25
40.25,-73.75,2023,1,2,0.19
40.25,-73.25,2023,1,2,0.12
40.25,-72.75,2023,1,2,0.1
40.25,-72.25,2023,1,2,0.07
40.25,-71.75,2023,1,2,0.02
